  +0.0000000000000000E+00	  +0.0000000000000000E+00	  +0.0000000000000000E+00	
  +1.0000000000000000E+00	  +4.8173484802246094E+00	  +2.5200001953125000E+04	
  +2.0000000000000000E+00	  +5.6462197303771973E+00	  +2.5200000000000000E+04	
  +3.0000000000000000E+00	  +6.0680518150329590E+00	  +2.5200000000000000E+04	
  +4.0000000000000000E+00	  +6.3620491027832031E+00	  +2.5199998046875000E+04	
  +5.0000000000000000E+00	  +6.5898194313049316E+00	  +2.5200000000000000E+04	
  +6.0000000000000000E+00	  +6.7764315605163574E+00	  +2.5200000000000000E+04	
  +7.0000000000000000E+00	  +6.9348006248474121E+00	  +2.5200000000000000E+04	
  +8.0000000000000000E+00	  +7.0725178718566895E+00	  +2.5200000000000000E+04	
  +9.0000000000000000E+00	  +7.1944456100463867E+00	  +2.5199998046875000E+04	
  +1.0000000000000000E+01	  +7.3038897514343262E+00	  +2.5200001953125000E+04	
  +1.1000000000000000E+01	  +7.4049162864685059E+00	  +2.5208935546875000E+04	
  +1.2000000000000000E+01	  +7.4997415542602539E+00	  +2.5227757812500000E+04	
  +1.3000000000000000E+01	  +7.5790734291076660E+00	  +2.5200000000000000E+04	
  +1.4000000000000000E+01	  +7.6564192771911621E+00	  +2.5200000000000000E+04	
  +1.5000000000000000E+01	  +7.7288842201232910E+00	  +2.5200000000000000E+04	
  +1.6000000000000000E+01	  +7.7968750000000000E+00	  +2.5199998046875000E+04	
  +1.7000000000000000E+01	  +7.8608918190002441E+00	  +2.5200001953125000E+04	
  +1.8000000000000000E+01	  +7.9213690757751465E+00	  +2.5200001953125000E+04	
  +1.9000000000000000E+01	  +7.9786748886108398E+00	  +2.5200001953125000E+04	
  +2.0000000000000000E+01	  +8.0331306457519531E+00	  +2.5199996093750000E+04	
  +2.1000000000000000E+01	  +8.0850048065185547E+00	  +2.5200001953125000E+04	
  +2.2000000000000000E+01	  +8.1339149475097656E+00	  +2.5196771484375000E+04	
  +2.3000000000000000E+01	  +8.1818132400512695E+00	  +2.5199998046875000E+04	
  +2.4000000000000000E+01	  +8.2272882461547852E+00	  +2.5200001953125000E+04	
  +2.5000000000000000E+01	  +8.2709255218505859E+00	  +2.5200001953125000E+04	
  +2.6000000000000000E+01	  +8.3156328201293945E+00	  +2.5214382812500000E+04	
  +2.7000000000000000E+01	  +8.3537712097167969E+00	  +2.5200001953125000E+04	
  +2.8000000000000000E+01	  +8.3926620483398438E+00	  +2.5200001953125000E+04	
  +2.9000000000000000E+01	  +8.4348526000976562E+00	  +2.5224933593750000E+04	
  +3.0000000000000000E+01	  +8.4672641754150391E+00	  +2.5200001953125000E+04	
  +3.1000000000000000E+01	  +8.5080013275146484E+00	  +2.5231019531250000E+04	
  +3.2000000000000000E+01	  +8.5370883941650391E+00	  +2.5200000000000000E+04	
  +3.3000000000000000E+01	  +8.5696229934692383E+00	  +2.5200001953125000E+04	
  +3.4000000000000000E+01	  +8.6015625000000000E+00	  +2.5200000000000000E+04	
  +3.5000000000000000E+01	  +8.6326808929443359E+00	  +2.5200000000000000E+04	
  +3.6000000000000000E+01	  +8.6629791259765625E+00	  +2.5200000000000000E+04	
  +3.7000000000000000E+01	  +8.6924858093261719E+00	  +2.5200001953125000E+04	
  +3.8000000000000000E+01	  +8.7212333679199219E+00	  +2.5200001953125000E+04	
  +3.9000000000000000E+01	  +8.7492570877075195E+00	  +2.5200001953125000E+04	
  +4.0000000000000000E+01	  +8.7765913009643555E+00	  +2.5200001953125000E+04	
  +4.1000000000000000E+01	  +8.8032684326171875E+00	  +2.5200001953125000E+04	
  +4.2000000000000000E+01	  +8.8293190002441406E+00	  +2.5199996093750000E+04	
  +4.3000000000000000E+01	  +8.8547725677490234E+00	  +2.5200000000000000E+04	
  +4.4000000000000000E+01	  +8.8796520233154297E+00	  +2.5200001953125000E+04	
  +4.5000000000000000E+01	  +8.9039840698242188E+00	  +2.5200001953125000E+04	
  +4.6000000000000000E+01	  +8.9277925491333008E+00	  +2.5199998046875000E+04	
  +4.7000000000000000E+01	  +8.9511013031005859E+00	  +2.5200001953125000E+04	
  +4.8000000000000000E+01	  +8.9739284515380859E+00	  +2.5200001953125000E+04	
  +4.9000000000000000E+01	  +8.9962930679321289E+00	  +2.5199998046875000E+04	
