6.57	0.00	4.30	0.00	1.89	0.00
7.11	0.00	4.60	0.00	2.07	0.00
7.65	0.00	5.00	0.00	2.16	0.00
8.10	0.00	5.20	0.00	2.34	0.00
8.28	0.00	4.90	0.00	2.43	0.00
8.64	0.00	5.10	0.00	2.52	0.00
8.91	0.00	5.20	0.00	2.61	0.00
9.00	0.00	4.90	0.00	2.70	0.00
23.31	0.00	6.10	0.00	13.86	0.00
19.98	0.00	4.90	0.00	12.60	0.00
16.83	0.00	3.80	0.00	11.25	0.00
15.75	0.00	3.30	0.00	10.44	0.00
14.49	0.00	3.20	0.00	9.81	0.00
13.14	0.18	2.80	0.00	9.27	0.00
12.69	0.18	2.90	0.00	8.73	0.00
12.96	0.18	3.00	0.00	8.55	0.00
13.59	0.00	2.60	0.00	8.73	0.00
2.34	0.00	1.50	0.00	0.18	0.00
2.79	0.00	1.60	0.00	0.45	0.00
2.97	0.00	1.70	0.00	0.72	0.00
3.60	0.00	2.00	0.00	1.08	0.00
4.50	0.00	2.40	0.00	1.44	0.00
4.77	0.00	2.20	0.00	1.62	0.00
6.57	0.00	4.00	0.00	1.89	0.00
6.39	0.00	3.20	0.00	2.07	0.00
7.29	0.00	3.80	0.00	2.25	0.00
7.02	0.00	3.10	0.00	2.34	0.00
7.65	0.00	3.50	0.00	2.52	0.00
7.92	0.00	3.50	0.00	2.61	0.00
8.10	0.00	3.60	0.00	2.70	0.00
8.37	0.00	3.80	0.00	2.79	0.00
8.19	0.00	3.50	0.00	2.79	0.00
24.75	0.00	6.00	0.00	14.22	0.00
22.68	0.00	5.60	0.00	12.87	0.00
20.88	0.00	5.70	0.00	11.61	0.00
19.89	0.00	5.20	0.00	11.07	0.00
19.26	0.00	5.20	0.00	10.62	0.00
18.81	0.00	5.30	0.00	10.26	0.00
18.27	0.00	5.20	0.00	9.81	0.00
18.09	0.00	5.20	0.00	9.54	0.00
18.36	0.00	5.90	0.00	9.36	0.00
6.03	0.00	4.80	0.00	0.54	0.00
6.21	0.00	4.50	0.00	0.90	0.00
6.30	0.00	4.00	0.00	1.17	0.00
6.30	0.00	3.40	0.00	1.35	0.00
6.75	0.00	3.50	0.00	1.62	0.00
7.02	0.00	3.50	0.00	1.80	0.00
